Synset ID,Definition,Members,Previous Hypernyms,New Hypernym ID,New Hypernym Definition,New Hypernym Members
01347791-v,move so that an opening or passage is obstructed; make shut,"close, shut",,01854282-v,"cause to move or shift into a new position or place, both in a concrete and in an abstract sense","move, displace"
01348685-v,cause to open or to become open,"open, open up",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01357376-v,"connect, fasten, or put together two or more pieces","connect, link, tie, link up",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01377960-v,strike and dash about in a liquid,splash,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01381221-v,distribute or disperse widely,"spread, distribute",,01854282-v,"cause to move or shift into a new position or place, both in a concrete and in an abstract sense","move, displace"
01383303-v,assemble or get together,"gather, garner, collect, pull together",,00658247-v,arrange into a group or groups,group
01399864-v,"give a beating to; subject to a beating, either as a punishment or as an act of aggression","beat, beat up, work over",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01436773-v,be accompanied by,bring,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
01460857-v,cause (a solvent) to pass through a permeable substance in order to extract a soluble constituent,percolate,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01472854-v,express willingness to have in one's home or environs,"receive, take in, invite",,00945869-v,give expression to,"express, show, evince"
01477180-v,"release, as from one's grip","let go of, let go, release, relinquish",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01478583-v,free or remove obstruction from,"free, disengage",,00572138-v,get rid of something abstract,"remove, take away"
01484449-v,be placed in position as by a hinge,hang,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
01484587-v,be suspended or poised,hang,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
01484705-v,be suspended or hanging,hang,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
01491476-v,become overloaded,overload,,00149403-v,enter or assume a certain state or condition,"become, go, get"
01528454-v,perform as expected when applied,"function, work, operate, go, run",,01716563-v,carry out or perform an action,"perform, execute, do"
01529271-v,run disconnected or idle,"idle, tick over",,01529078-v,"be operating, running or functioning",run
01533912-v,occupy a trench or secured area,"entrench, dig in",,02655144-v,occupy the whole of,"occupy, fill"
01541851-v,"take in, also metaphorically","absorb, suck, imbibe, soak up, sop up, suck up, draw, take in, take up",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01545450-v,fall or flow in a certain way,"hang, fall, flow",,01839438-v,"change location; move, travel, or proceed, also metaphorically","travel, go, move, locomote"
01545624-v,hang down so as to drag along the ground,trail,,01484705-v,be suspended or hanging,hang
01545905-v,be in a position in which one's upper body is largely upright and supported by one's backside,"sit, sit down",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
01549783-v,"be lying, be prostrate; be in a horizontal position",lie,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
01565514-v,cause to collide,collide,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01566925-v,destroy completely; damage irreparably,"destroy, ruin",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01572936-v,place,"install, instal, set up, establish",,01572394-v,set up for use,"install, instal, put in, set up"
01604155-v,support or hold in a certain manner,"hold, carry, bear",,01219607-v,be the physical support of; carry the weight of,"hold, support, sustain, hold up"
01613738-v,make an incision or separation,cut,,01620211-v,make or cause to be or to become,"make, create"
01614650-v,distribute over a surface in a layer,spread,,02047080-v,cause to be distributed,"circulate, pass around, pass on, distribute"
01618895-v,stop using,"put away, put aside",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off"
00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00781646-v,give a rest to,rest,,02321848-v,"cause to have, in the abstract sense or physical sense",give
00801045-v,make a retreat from an earlier commitment or activity,"retreat, pull back, back out, back away, crawfish, crawfish out, pull in one's horns, withdraw",,00363001-v,prevent completion,"break, break off, discontinue, stop"
00803288-v,cease to consider; put out of judicial consideration,"dismiss, throw out",,00363001-v,prevent completion,"break, break off, discontinue, stop"
00806464-v,be of different opinions,"disagree, differ, dissent, take issue",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00807038-v,be in accord; be in agreement,"agree, hold, concur, concord",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00813037-v,stay clear from; keep away from; keep out of the way of someone or something,avoid,,02690747-v,"continue a certain state, condition, or activity","continue, go on, proceed, go along, keep"
00820635-v,be emphatic or resolute and refuse to budge,"insist, take a firm stand",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00845147-v,"blame for, make a claim of wrongdoing or misbehavior against","charge, accuse",,00729953-v,attribute responsibility to,"blame, charge"
00860989-v,cause (somebody) to feel happier or more cheerful,"cheer, cheer up, jolly along, jolly up",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
00892111-v,make certain of,"guarantee, ensure, insure, assure, secure",,01620211-v,make or cause to be or to become,"make, create"
00894444-v,acknowledge faults or shortcomings or failing,"apologize, apologise",,00893988-v,"express obligation, thanks, or gratitude for","acknowledge, recognize, recognise"
00907012-v,cause to be acquitted; get off the hook; in a legal case,get off,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
00909100-v,"express complaints, discontent, displeasure, or unhappiness","complain, kick, plain, sound off, quetch, kvetch",,00942415-v,"articulate; either verbally or with a cry, shout, or noise","express, verbalize, verbalise, utter, give tongue to"
00920843-v,"establish after a calculation, investigation, experiment, survey, or study","determine, find, find out, ascertain",,00666706-v,"establish the validity of something, as by an example, explanation or experiment","prove, demonstrate, establish, show, shew"
00922307-v,"find out, learn, or determine with certainty, usually by making an inquiry or other effort","determine, check, find out, see, ascertain, watch, learn",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
00933814-v,denote or connote,"mean, intend, signify, stand for",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00937173-v,be made known; be disclosed or revealed,"out, come out",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00938019-v,be released or become known; of news,"break, get out, get around",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00939649-v,refrain from divulging sensitive information; keep quiet about confidential information,"keep quiet, shut one's mouth, keep one's mouth shut",,02731589-v,resist doing something,"refrain, forbear"
00942415-v,"articulate; either verbally or with a cry, shout, or noise","express, verbalize, verbalise, utter, give tongue to",,00945869-v,give expression to,"express, show, evince"
00952369-v,be dared to do something and not attempt it,take a dare,,00671680-v,"accept or undergo, often unwillingly","take, submit"
00952463-v,show consideration for; take into account,"consider, count, weigh",,00630153-v,"use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments","think, cogitate, cerebrate"
00975760-v,be broadcast,air,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
00980581-v,"speak, pronounce, or utter in a certain way","pronounce, articulate, enounce, sound out, enunciate, say",,00944022-v,express in speech,"talk, speak, utter, mouth, verbalize, verbalise"
00985856-v,express audibly; utter sounds (not necessarily words),"utter, emit, let out, let loose",,00945869-v,give expression to,"express, show, evince"
00991233-v,give a speech to,"address, speak",,00942415-v,"articulate; either verbally or with a cry, shout, or noise","express, verbalize, verbalise, utter, give tongue to"
00991522-v,rise in order to make a speech or motion,take the floor,,01987278-v,rise to one's feet,"arise, rise, uprise, get up, stand up"
01008855-v,exchange messages,correspond,,02262178-v,"give to, and receive from, one another","exchange, change, interchange"
01009072-v,communicate (with) in writing,"write, drop a line",00745330-v,01008855-v,exchange messages,correspond
01011848-v,state as one's opinion or judgement; declare,say,,01011267-v,express in words,"state, say, tell"
01013752-v,say yes to,affirm,,00981902-v,utter aloud,say
01022740-v,write all the required information onto a form,"complete, fill out, fill in, make out",,00995046-v,communicate or express by writing,write
01031401-v,be called; go by a certain name,"go by, go under",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
01032165-v,assign a name or title to,"designate, denominate",,00742058-v,decide as to where something belongs in a scheme,"assign, attribute"
01037402-v,"achieve harmony of opinion, feeling, or purpose",agree,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01042933-v,refuse to talk or stop talking; fall silent,"close up, clam up, dummy up, shut up, belt up, button up, be quiet, keep mum",,02731589-v,resist doing something,"refrain, forbear"
01068455-v,"present somebody with something, usually to accuse or criticize","confront, face, present",,02728538-v,offer for others to consider,"present, pose"
01070402-v,deny formally (an allegation of fact by the opposing party) in a legal suit,"traverse, deny",,00825097-v,deny the truth of,"contradict, negate, contravene"
01072799-v,"begin to speak, understand, read, and write a language",begin,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02205200-v,give as a present; make a gift of,"give, gift, present",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02205920-v,"to get into a position of having, e.g., safety, comfort",take,,00149403-v,enter or assume a certain state or condition,"become, go, get"
02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02209474-v,have ownership or possession of,"own, have, possess",,02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold"
02210054-v,take into one's possession,take,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02211401-v,conquer by force,take,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02214718-v,make use of or accept for some purpose,"take, accept",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02215637-v,come into the possession of something concrete or abstract,"get, acquire",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02225243-v,cause to change ownership,transfer,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02228837-v,dispose of,"get rid of, remove",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02232523-v,give up with the intent of never claiming again,"abandon, give up",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02242120-v,not accept as true,"refuse, reject, pass up, turn down, decline",,00672179-v,form a critical opinion of,"evaluate, pass judgment, judge"
02252172-v,be sold for a certain price,"fetch, bring in, bring",,02733758-v,be sold at a certain price or in a certain way,sell
02253273-v,"come upon, as if by accident; meet with","find, happen, chance, bump, encounter",,02026953-v,come together,"meet, run into, encounter, run across, come across, see"
02258963-v,be obliged to pay or repay,owe,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
02265169-v,engage in the trade of,"trade, merchandise",,02380222-v,carry out or participate in an activity; be involved in,"prosecute, engage, pursue"
02270039-v,keep an account of,"account, calculate",,01067899-v,maintain by writing regular records,"keep, maintain"
02270824-v,accumulate money for future use,"save, lay aside, save up",,02309962-v,get or gather together,"roll up, collect, accumulate, pile up, amass, compile, hoard"
02271765-v,spend less; buy at a reduced price,save,,02271905-v,pay out,"spend, expend, drop"
02271905-v,pay out,"spend, expend, drop","02256551-v, 01159815-v",02256551-v,"give money, usually in exchange for goods or services",pay
02272834-v,require (time or space),"take, occupy, use up",01159815-v,01160888-v,"use up, consume fully","use, expend"
02273196-v,spend thoughtlessly; throw away,"waste, blow, squander",01159815-v,01160888-v,"use up, consume fully","use, expend"
02284863-v,make neither profit nor loss,break even,,01620211-v,make or cause to be or to become,"make, create"
02292463-v,miss from one's possessions; lose sight of,lose,,02638434-v,be without,"miss, lack"
02292634-v,"fail to keep or to maintain; cease to have, either physically or in an abstract sense",lose,,02534950-v,fail to do something; leave something undone,"fail, neglect"
02293000-v,fail to get or obtain,lose,,02534950-v,fail to do something; leave something undone,"fail, neglect"
02293733-v,fail to make money in a business; make a loss or fail to profit,"lose, turn a loss",,02534950-v,fail to do something; leave something undone,"fail, neglect"
02294039-v,be debited and credited to the proper bank accounts,clear,,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02303593-v,propose a payment,"offer, bid, tender",,00876925-v,"make a proposal, declare a plan for something","propose, suggest, advise"
02320918-v,receive from a predecessor,inherit,,02214901-v,get something; come into possession of,"receive, have"
02321848-v,"cause to have, in the abstract sense or physical sense",give,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
02322074-v,"bestow, especially officially","grant, give",,02321848-v,"cause to have, in the abstract sense or physical sense",give
02323383-v,become bankrupt or insolvent; fail financially and close,fail,,00149403-v,enter or assume a certain state or condition,"become, go, get"
02355171-v,relieve from,"rid, free, disembarrass",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
02363033-v,afford access to,"afford, open, give",,02321848-v,"cause to have, in the abstract sense or physical sense",give
02363654-v,to be given by assignment or distribution,fall,,02214901-v,get something; come into possession of,"receive, have"
02363921-v,to be given by right or inheritance,fall,,02214901-v,get something; come into possession of,"receive, have"
02368741-v,"record, add up, and receive payment for items purchased",check out,,02256551-v,"give money, usually in exchange for goods or services",pay
01771015-v,"be worried, concerned, anxious, troubled, or uneasy",worry,,01775456-v,undergo an emotional sensation or be in a particular state of mind,"feel, experience"
01771801-v,have an emotional or cognitive impact upon,"affect, impress, move, strike",,01620211-v,make or cause to be or to become,"make, create"
01775456-v,undergo an emotional sensation or be in a particular state of mind,"feel, experience",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01777456-v,cause to be bitter or resentful,"embitter, envenom, acerbate",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01777655-v,accept or admit unwillingly,grudge,,00818972-v,declare to be true or admit the existence or reality or truth of,"admit, acknowledge"
01779085-v,have a great affection or liking for,love,,01775456-v,undergo an emotional sensation or be in a particular state of mind,"feel, experience"
01779986-v,to remain emotionally or intellectually attached,cling,,02733337-v,"continue in a place, position, or situation","stay, stay on, continue, remain"
01780648-v,have or feel a dislike or distaste for,dislike,,01775456-v,undergo an emotional sensation or be in a particular state of mind,"feel, experience"
01780873-v,be fond of,like,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
01781131-v,find enjoyable or agreeable,like,,01775456-v,undergo an emotional sensation or be in a particular state of mind,"feel, experience"
01784021-v,be afraid or scared of; be frightened of,"fear, dread",,01775456-v,undergo an emotional sensation or be in a particular state of mind,"feel, experience"
01784253-v,be uneasy or apprehensive about,fear,,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
01791641-v,cause to go crazy; cause to lose one's mind,"madden, craze",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01796002-v,be flustered; behave in a confused manner,fluster,00010428-v,02523827-v,behave in a certain manner,"behave, acquit, bear, deport, conduct, comport, carry"
01800044-v,feel intense anger,rage,,01775456-v,undergo an emotional sensation or be in a particular state of mind,"feel, experience"
01800811-v,turn away from sin or do penitence,"repent, atone",,00687584-v,not accept something given or offered,reject
01806476-v,give verbal or other expression to one's feelings,"express emotion, express feelings",,01062889-v,serve as a means for expressing something,"carry, convey, express"
01811849-v,be attractive to,"attract, appeal",,02610777-v,"have the quality of being; (copula, used with an adjective or a predicate noun)",be
01814900-v,abandon hope; give up hope; lose heart,despair,,01085437-v,give up in the face of defeat of lacking hope; admit defeat,"drop out, give up, fall by the wayside, drop by the wayside, throw in, throw in the towel, quit, chuck up the sponge"
01817466-v,make glad or happy,"gladden, joy",,01620211-v,make or cause to be or to become,"make, create"
01818782-v,give moral or emotional strength to,"comfort, soothe, console, solace",,02372362-v,"perform an action, or work out or perform (an action)","act, do"
01820398-v,make happy or satisfied,"satisfy, gratify",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01821097-v,give displeasure to,displease,,02321848-v,"cause to have, in the abstract sense or physical sense",give
01822083-v,become heartened or elated,rise,,00149403-v,enter or assume a certain state or condition,"become, go, get"
01823114-v,deprive of courage or hope; take away hope from; cause to feel discouraged,discourage,,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01824240-v,derive or receive pleasure from; get enjoyment from; take pleasure in,"enjoy, bask, relish, savor, savour",,01775456-v,undergo an emotional sensation or be in a particular state of mind,"feel, experience"
01825834-v,cause to be bored,"bore, tire",,00772482-v,cause to do; cause to act in a specified manner,"induce, stimulate, cause, have, get, make"
01827099-v,show no concern or interest; always used in the negative,"care a hang, give a hoot, give a hang, give a damn",,00945869-v,give expression to,"express, show, evince"
01829067-v,wish ill or allow unwillingly,"begrudge, resent",,01775456-v,undergo an emotional sensation or be in a particular state of mind,"feel, experience"
01829179-v,feel or have a desire for; want strongly,"desire, want",,01775456-v,undergo an emotional sensation or be in a particular state of mind,"feel, experience"
01830665-v,expect and wish,"hope, trust, desire",,00721987-v,look forward to the probable occurrence of,"expect, look, await, wait"
90003391-v,to be a extreme female fan of something,fangirl,,01779085-v,have a great affection or liking for,love
