06383357-n,Arthurian legend,the legend of King Arthur and his court at Camelot
10924391-n,"Ferdinand Cohn, Cohn, Ferdinand Julius Cohn",German botanist who is generally recognized as founding bacteriology when he recognized bacteria as plants
10925455-n,"Compton, Arthur Compton, Arthur Holly Compton",United States physicist noted for research on x-rays and gamma rays and nuclear energy; his observation that X-rays behave like miniature bowling balls in their interactions with electrons provided evidence for the quantal nature of light (1892-1962)
10925800-n,"Comstock, Anthony Comstock",United States reformer who led moral crusades against art and literature that he considered obscene (1844-1915)
10925986-n,"Comte, Auguste Comte, Isidore Auguste Marie Francois Comte",French philosopher remembered as the founder of positivism; he also established sociology as a systematic field of study
10926574-n,"Confucius, Kongfuze, K'ung Futzu, Kong the Master",Chinese philosopher whose ideas and sayings were collected after his death and became the basis of a philosophical doctrine known a Confucianism (circa 551-478 BC)
10926855-n,"Congreve, William Congreve",English playwright remembered for his comedies (1670-1729)
10927399-n,"Conrad, Joseph Conrad, Teodor Josef Konrad Korzeniowski",English novelist (born in Poland) noted for sea stories and for his narrative technique (1857-1924)
10927714-n,"Constantine I of Greece, Constantine, Constantine I, Constantine the Great, Flavius Valerius Constantinus",Emperor of Rome who stopped the persecution of Christians and in 324 made Christianity the official religion of the Roman Empire; in 330 he moved his capital from Rome to Byzantium and renamed it Constantinople (280-337)
10928286-n,"Cooke, Jay Cooke",United States financier who marketed Union bonds to finance the American Civil War; the failure of his bank resulted in a financial panic in 1873 (1821-1905)
10928879-n,"Cooper, James Fenimore Cooper",United States novelist noted for his stories of American Indians and the frontier life (1789-1851)
10929055-n,"Cooper, Gary Cooper, Frank Cooper",United States film actor noted for his portrayals of strong silent heroes (1901-1961)
10931831-n,"Antonio da Correggio, Correggio, Antonio Allegri da Correggio",Italian painter noted for his use of chiaroscuro and perspective (1489-1534)
10932554-n,"Charles-Augustin de Coulomb, Coulomb, Charles Augustin de Coulomb",French physicist famous for his discoveries in the field of electricity and magnetism; formulated Coulomb's Law (1736-1806)
10932955-n,"Courbet, Gustave Courbet",French painter noted for his realistic depiction of everyday scenes (1819-1877)
10933393-n,"Coward, Noel Coward, Sir Noel Pierce Coward",English dramatist and actor and composer noted for his witty and sophisticated comedies (1899-1973)
10935125-n,"Crispin, Saint Crispin, St. Crispin",patron saint of shoemakers; he and his brother were martyred for trying to spread Christianity (3rd century)
10935614-n,"Crohn, Burrill Bernard Crohn",United States physician who specialized in diseases of the intestines; he was the first to describe regional ileitis which is now known as Crohn's disease (1884-1983)
10936077-n,"Cronyn, Hume Cronyn, Hume Blake Cronyn",Canadian actor who frequently played character parts with his wife Jessica Tandy (1911-2003)
10937129-n,"cummings, e. e. cummings, Edward Estlin Cummings",United States writer noted for his typographically eccentric poetry (1894-1962)
10938110-n,"Currier, Nathaniel Currier",United States lithographer who (with his partner James Ives) produced thousands of prints signed `Currier & Ives' (1813-1888)
10938586-n,"Cushing, Harvey Cushing, Harvery Williams Cushing",United States neurologist noted for his study of the brain and pituitary gland and who identified Cushing's syndrome (1869-1939)
10938813-n,"Custer, George Armstrong Custer, General Custer",United States general who was killed along with all his command by the Sioux at the Battle of Little Bighorn (1839-1876)
10939350-n,"Cyrano de Bergerac, Savinien Cyrano de Bergerac",a French soldier and dramatist remembered chiefly for fighting many duels (often over the size of his nose); was immortalized in 1897 in a play by Edmond Rostand (1619-1655)
10939638-n,"Cyril, Saint Cyril, St. Cyril",Greek missionary; the invention of the Cyrillic alphabet is attributed to him (826-869)
10939803-n,"Cyrus, Cyrus the Younger",Persian prince who was defeated in battle by his brother Artaxerxes II (424-401 BC)
10940334-n,"Vasco da Gama, da Gamma, Vasco da Gamma, Gamma",Portuguese navigator who led an expedition around the Cape of Good Hope in 1497; he sighted and named Natal on Christmas Day before crossing the Indian Ocean (1460-1524)
10941323-n,Damocles,the Greek courtier to Dionysius the Elder who (according to legend) was condemned to sit under a naked sword that was suspended by a hair in order to demonstrate to him that being a king was not the happy state Damocles had said it was (4th century BC)
10941631-n,Damon,the friend of Phintias who pledged his life that Phintias would return (4th century BC)
10941991-n,"Dante, Dante Alighieri",an Italian poet famous for writing the Divine Comedy that describes a journey through Hell and purgatory and paradise guided by Virgil and his idealized Beatrice (1265-1321)
10942253-n,"Georges Danton, Danton, Georges Jacques Danton",French revolutionary leader who stormed the Paris bastille and who supported the execution of Louis XVI but was guillotined by Robespierre for his opposition to the Reign of Terror (1759-1794)
10942720-n,Darius III,king of Persia who was defeated by Alexander the Great; his murder effectively ended the Persian Empire (died in 330 BC)
10942898-n,"Darrow, Clarence Darrow, Clarence Seward Darrow",United States lawyer famous for his defense of lost causes (1857-1938)
10943273-n,"Daumier, Honore Daumier",French painter best known for his satirical lithographs of bourgeois society (1808-1879)
10943452-n,David,(Old Testament) the 2nd king of the Israelites; as a young shepherd he fought Goliath (a giant Philistine warrior) and killed him by hitting him in the head with a stone flung from a sling; he united Israel with Jerusalem as its capital; many of the Psalms are attributed to David (circa 1000-962 BC)
10944580-n,"Davis, Miles Davis, Miles Dewey Davis Jr.",United States jazz musician; noted for his trumpet style (1926-1991)
10945524-n,"Day, Clarence Day, Clarence Shepard Day Jr.",United States writer best known for his autobiographical works (1874-1935)
10945818-n,"Dean, James Dean, James Byron Dean",United States film actor whose moody rebellious roles made him a cult figure (1931-1955)
10946524-n,"Decatur, Stephen Decatur",United States naval officer remembered for his heroic deeds (1779-1820)
10946668-n,Decius,Emperor of Rome who was proclaimed emperor against his will; his reign was notable for his severe persecution of Christians (201-251)
10947021-n,"Defoe, Daniel Defoe",English writer remembered particularly for his novel about Robinson Crusoe (1659-1731)
10948396-n,"de la Mare, Walter de la Mare, Walter John de la Mare",English poet remembered for his verse for children (1873-1956)
10948867-n,Delilah,(Old Testament) the Philistine mistress of Samson who betrayed him by cutting off his hair and so deprived him of his strength
10949408-n,"Demetrius I of Macedon, Demetrius, Demetrius I, Demetrius Poliorcetes",son of Antigonus Cyclops and king of Macedonia; he and his father were defeated at the battle of Ipsus (337-283 BC)
10949850-n,"DeMille, Cecil B. DeMille, Cecil Blount DeMille",United States film maker remembered for his extravagant and spectacular epic productions (1881-1959)
10951995-n,"de Valera, Eamon de Valera",Irish statesman (born in the United States); as president of the Irish Free State he was responsible for the new constitution of 1937 that created the state of Eire (1882-1975)
10952447-n,"Dewar, Sir James Dewar",Scottish chemist and physicist noted for his work in cryogenics and his invention of the Dewar flask (1842-1923)
10952835-n,"Dewey, George Dewey, Admiral Dewey",a United States naval officer remembered for his victory at Manila Bay in the Spanish-American War
10953680-n,"Diane de Poitiers, Duchesse de Valentinois",French noblewoman who was the mistress of Henry II; she had more influence over him than did his wife Catherine de Medicis (1499-1566)
10955559-n,"DiMaggio, Joe DiMaggio, Joseph Paul DiMaggio",United States professional baseball player noted for his batting ability (1914-1999)
10955960-n,"Diocletian, Gaius Aurelius Valerius Diocletian",Roman Emperor who when faced with military problems decided in 286 to divide the Roman Empire between himself in the east and Maximian in the west; he initiated the last persecution of the Christians in 303 (245-313)
10958813-n,"Domitian, Titus Flavius Domitianus",Emperor of Rome; son of Vespasian who succeeded his brother Titus; instigated a reign of terror and was assassinated as a tyrant (51-96)
10959032-n,"Donatello, Donato di Betto Bardi",Florentine sculptor famous for his lifelike sculptures (1386-1466)
10960307-n,"Christian Doppler, Doppler, Christian Johann Doppler",Austrian physicist famous for his discovery of the Doppler effect (1803-1853)
10960466-n,"Dos Passos, John Dos Passos, John Roderigo Dos Passos",United States novelist remembered for his portrayal of life in the United States (1896-1970)
10961198-n,"Douglas, Stephen A. Douglas, Stephen Arnold Douglas, Little Giant",United States politician who proposed that individual territories be allowed to decide whether they would have slavery; he engaged in a famous series of debates with Abraham Lincoln (1813-1861)
10963397-n,"Dreyfus, Alfred Dreyfus",French army officer of Jewish descent whose false imprisonment for treason in 1894 raised issues of anti-Semitism that dominated French politics until his release in 1906 (1859-1935)
10964894-n,"Dumas, Alexandre Dumas",French writer remembered for his swashbuckling historical tales (1802-1870)
10965817-n,"Durante, Jimmy Durante",United States comedian remembered for his large nose and hoarse voice (1893-1980)
10966278-n,"Durrell, Lawrence Durrell, Lawrence George Durrell",English writer of Irish descent who spent much of his life in Mediterranean regions (1912-1990)
10966742-n,"Duvalier, Jean-Claude Duvalier, Baby Doc",son and successor of Francois Duvalier as president of Haiti; he was overthrown by a mass uprising in 1986 (born in 1951)
10967100-n,"Dylan, Bob Dylan",United States songwriter noted for his protest songs (born in 1941)
10967620-n,"Eastman, George Eastman",United States inventor of a dry-plate process of developing photographic film and of flexible film (his firm introduced roll film) and of the box camera and of a process for color photography (1854-1932)
10967914-n,"Eccles, John Eccles, Sir John Carew Eccles",Australian physiologist noted for his research on the conduction of impulses by nerve cells (1903-1997)
10968470-n,"Arthur Eddington, Eddington, Sir Arthur Stanley Eddington",English astronomer remembered for his popular elucidation of relativity theory (1882-1944)
10968985-n,"Edgar the Peaceful, Edgar",the younger brother of Edwy who became king of Northumbria when it renounced Edwy; on Edwy's death he succeeded to the throne of England (943-975)
10969416-n,Edmund I,king of the English who succeeded Athelstan; he drove out the Danes and made peace with Scotland (921-946)
10970440-n,"Edward III of England, Edward, Edward III",son of Edward II and King of England from 1327-1377; his claim to the French throne provoked the Hundred Years' War; his reign was marked by an epidemic of the Black Plague and by the emergence of the House of Commons as the powerful arm of British Parliament (1312-1377)
10970778-n,"Edward IV of England, Edward, Edward IV",King of England from 1461 to 1470 and from 1471 to 1483; was dethroned in 1470 but regained the throne in 1471 by his victory at the battle of Tewkesbury (1442-1483)
10971009-n,"Edward V of England, Edward, Edward V",King of England who was crowned at the age of 13 on the death of his father Edward IV but was immediately confined to the Tower of London where he and his younger brother were murdered (1470-1483)
10971451-n,"Edward, Edward VII, Albert Edward",King of England from 1901 to 1910; son of Victoria and Prince Albert; famous for his elegant sporting ways (1841-1910)
10971689-n,"Edward, Edward VIII, Duke of Windsor",King of England and Ireland in 1936; his marriage to Wallis Warfield Simpson created a constitutional crisis leading to his abdication (1894-1972)
10972135-n,"Edward the Confessor, Saint Edward the Confessor, St. Edward the Confessor",son of Ethelred the Unready; King of England from 1042 to 1066; he founded Westminster Abbey where he was eventually buried (1003-1066)
10972413-n,Edward the Elder,king of Wessex whose military success against the Danes made it possible for his son Athelstan to become the first king of all England (870-924)
10972621-n,"Edward the Martyr, Saint Edward the Martyr, St. Edward the Martyr",King of England who was a son of Edgar; he was challenged for the throne by supporters of his half-brother Ethelred II who eventually murdered him (963-978)
10973027-n,"Edwy, Eadwig",King of England who was renounced by Northumbria in favor of his brother Edgar (died in 959)
10976369-n,"El Greco, Greco, Domenikos Theotocopoulos",Spanish painter (born in Greece) remembered for his religious works characterized by elongated human forms and dramatic use of color (1541-1614)
10976604-n,Elijah,a Hebrew prophet in the Old Testament who opposed the worship of idols; he was persecuted for rebuking Ahab and Jezebel (king and queen of Israel); he was taken up to heaven in a chariot of fire (circa 9th century BC)
10977064-n,"Eliot, T. S. Eliot, Thomas Stearns Eliot",British poet (born in the United States) who won the Nobel prize for literature; his plays are outstanding examples of modern verse drama (1888-1965)
10978174-n,"Ellison, Ralph Ellison, Ralph Waldo Ellison",United States novelist who wrote about a young Black man and his struggles in American society (1914-1994)
10978877-n,"Endecott, Endicott, John Endecott, John Endicott",born in England; in 1629 he became the founder of the Massachusetts Bay Colony (1588-1665)
10979849-n,"Erasmus, Desiderius Erasmus, Gerhard Gerhards, Geert Geerts","Dutch humanist and theologian who was the leading Renaissance scholar of northern Europe; although his criticisms of the Roman Catholic Church led to the Reformation, he opposed violence and condemned Martin Luther (1466-1536)"
10981079-n,Esau,(Old Testament) the eldest son of Isaac who would have inherited the covenant that God made with Abraham and that Abraham passed on to Isaac; he traded his birthright to his twin brother Jacob for a mess of pottage
10981364-n,Esther,(Old Testament) a beautiful Jewess chosen by the king of Persia to be his queen; she stopped a plot to massacre all the Jews in Persia (an event celebrated by Jews as the feast of Purim)
10981808-n,"AEthelred of Wessex, Ethelred, Ethelred I",king of Wessex and Kent and elder brother of Alfred; Alfred joined Ethelred's battle against the invading Danes and succeeded him on his death (died in 871)
10982033-n,"Ethelred, Ethelred II, Ethelred the Unready",king of the English who succeeded to the throne after his half-brother Edward the Martyr was murdered; he struggled unsuccessfully against the invading Danes (969-1016)
10983246-n,"Evans, Arthur Evans, Sir Arthur John Evans",British archaeologist who excavated the palace of Knossos in Crete to find what he called Minoan civilization (1851-1941)
10984253-n,"Eysenck, Hans Eysenck, H. J. Eysenck, Hans Jurgen Eysenck",a British psychologist (born in Germany) noted for his theories of intelligence and personality and for his strong criticism of Freudian psychoanalysis
10985143-n,"Daniel Gabriel Fahrenheit, Fahrenheit, Gabriel Daniel Fahrenheit",German physicist who invented the mercury thermometer and developed the scale of temperature that bears his name (1686-1736)
10985353-n,"Fairbanks, Douglas Fairbanks, Douglas Elton Fairbanks, Julius Ullman",United States film actor noted for his swashbuckling roles (1883-1939)
10987303-n,"James T. Farrell, Farrell, James Thomas Farrell",United States writer remembered for his novels (1904-1979)
10987864-n,"Fawkes, Guy Fawkes",English conspirator who was executed for his role in a plot to blow up James I and the Houses of Parliament (1570-1606)
10989297-n,"Ferdinand II of Aragon, Ferdinand, King Ferdinand, Ferdinand of Aragon, Ferdinand V, Ferdinand the Catholic",the king of Castile and Aragon who ruled jointly with his wife Isabella; his marriage to Isabella I in 1469 marked the beginning of the modern state of Spain and their capture of Granada from the Moors in 1492 united Spain as one country; they instituted the Spanish Inquisition in 1478 and supported the expedition of Christopher Columbus in 1492 (1452-1516)
10991256-n,"Firth, J. R. Firth, John Rupert Firth",English linguist who contributed to linguistic semantics and to prosodic phonology and who was noted for his insistence on studying both sound and meaning in context (1890-1960)
10991844-n,"Fischer, Hans Fischer",German chemist noted for his synthesis of hemin (1881-1945)
10992290-n,"Fitzgerald, Edward Fitzgerald",English poet remembered primarily for his free translation of the poetry of Omar Khayyam (1809-1883)
10992487-n,"Flaminius, Gaius Flaminius",Roman statesman and general who built the Flaminian Way; died when he was defeated by Hannibal (died 217 BC)
10993714-n,"Florio, John Florio",English lexicographer remembered for his Italian and English dictionary (1553-1625)
10994263-n,"Fontanne, Lynn Fontanne",United States actress (born in England) who married Alfred Lunt and performed with him in many plays (1887-1983)
10997656-n,"Archduke Franz Ferdinand of Austria, Francis Ferdinand, Franz Ferdinand",archduke of Austria and heir apparent to Francis Joseph I; his assassination at Sarajevo triggered the outbreak of World War I (1863-1914)
10998838-n,"Franco, Francisco Franco, El Caudillo, General Franco",Spanish general whose armies took control of Spain in 1939 and who ruled as a dictator until his death (1892-1975)
10999075-n,"Franklin, Benjamin Franklin",printer whose success as an author led him to take up politics; he helped draw up the Declaration of Independence and the Constitution; he played a major role in the American Revolution and negotiated French support for the colonists; as a scientist he is remembered particularly for his research in electricity (1706-1790)
11000252-n,"Frederick II, Holy Roman Emperor Frederick II",the Holy Roman Emperor who led the Sixth Crusade and crowned himself king of Jerusalem (1194-1250)
11000677-n,"Frederick William, Great Elector",the Elector of Brandenburg who rebuilt his domain after its destruction during the Thirty Years' War (1620-1688)
11002654-n,"Friedman, Milton Friedman",United States economist noted as a proponent of monetarism and for his opposition to government intervention in the economy (born in 1912)
11002866-n,"Frisch, Karl von Frisch",Austrian zoologist noted for his studies of honeybees (1886-1982)
11003003-n,"Frisch, Ragnar Frisch, Ragnar Anton Kittil Frisch",Norwegian economist noted for his work in econometrics (1895-1973)
11003927-n,"Frost, Robert Frost, Robert Lee Frost",United States poet famous for his lyrical poems on country life in New England (1874-1963)
11004122-n,"Fry, Christopher Fry",English dramatist noted for his comic verse dramas (born 1907)
11004585-n,"Fuchs, Klaus Fuchs, Emil Klaus Julius Fuchs",British physicist who was born in Germany and fled Nazi persecution; in the 1940s he passed secret information to the USSR about the development of the atom bomb in the United States (1911-1988)
11005156-n,"J. William Fulbright, Fulbright, William Fulbright, James William Fulbright",United States senator who is remembered for his creation of grants that fund exchange programs of teachers and students between the United States and other countries (1905-1995)
11006558-n,"Gabor, Dennis Gabor",British physicist (born in Hungary) noted for his work on holography (1900-1979)
11007720-n,"Galileo, Galileo Galilei",Italian astronomer and mathematician who was the first to use a telescope to study the stars; demonstrated that different weights descend at the same rate; perfected the refracting telescope that enabled him to make many discoveries (1564-1642)
11008883-n,"Galvani, Luigi Galvani",Italian physiologist noted for his discovery that frogs' muscles contracted in an electric field (which led to the galvanic cell) (1737-1798)
11010208-n,"Gardiner, Samuel Rawson Gardiner",British historian remembered for his ten-volume history of England (1829-1902)
11011411-n,"Garrick, David Garrick",English actor and theater manager who was the foremost Shakespearean actor of his day (1717-1779)
11011932-n,"Gates, Bill Gates, William Henry Gates",United States computer entrepreneur whose software company made him the youngest multi-billionaire in the history of the United States (born in 1955)
11013773-n,"Gell-Mann, Murray Gell-Mann",United States physicist noted for his studies of subatomic particles (born in 1929)
11015288-n,"George III of the United Kingdom, George, George III",King of Great Britain and Ireland from 1760 to 1820; the American colonies were lost during his reign; he became insane in 1811 and his son (later George IV) acted as regent until 1820 (1738-1820)
11015588-n,"George IV of the United Kingdom, George, George IV",King of Great Britain and Ireland and Hanover from 1820 to 1830; his attempt to divorce his estranged wife undermined the prestige of the Crown (1762-1830)
11015846-n,"George, George V",King of Great Britain and Ireland and emperor of India from 1910 to 1936; gave up his German title in 1917 during World War I (1865-1936)
11016086-n,"George, George VI",King of Great Britain and Ireland and emperor of India from 1936 to 1947; he succeeded Edward VIII (1895-1952)
11016281-n,"George, Saint George, St. George",Christian martyr; patron saint of England; hero of the legend of Saint George and the Dragon in which he slew a dragon and saved a princess (?-303)
11017064-n,"Gershwin, Ira Gershwin",United States lyricist who frequently collaborated with his brother George Gershwin (1896-1983)
11017230-n,"Gesell, Arnold Gesell, Arnold Lucius Gesell",United States psychologist noted for his work in child development (1880-1961)
11017549-n,"Giacometti, Alberto Giacometti",Swiss sculptor and painter known for his bronze sculptures of elongated figures (1901-1966)
11017738-n,"Gibbon, Edward Gibbon",English historian best known for his history of the Roman Empire (1737-1794)
11018470-n,"Gibson, C. D. Gibson, Charles Dana Gibson",United States illustrator remembered for his creation of the `Gibson girl' (1867-1944)
11019406-n,"Walter Gilbert, Gilbert, William Gilbert",English court physician noted for his studies of terrestrial magnetism (1540-1603)
11025567-n,"Goldwyn, Sam Goldwyn, Samuel Goldwyn",United States film maker (born in Poland) who founded his own film company and later merged with Louis B. Mayer (1882-1974)
11025776-n,"Golgi, Camillo Golgi",Italian histologist noted for work on the structure of the nervous system and for his discovery of Golgi bodies (1844-1926)
11026427-n,"Goncourt, Edmond de Goncourt, Edmond Louis Antoine Huot de Goncourt",French writer who collaborated with his brother Jules de Goncourt on many books and who in his will established the Prix Goncourt (1822-1896)
11026685-n,"Goncourt, Jules de Goncourt, Jules Alfred Huot de Goncourt",French writer who collaborated with his brother Edmond de Goncourt on many books (1830-1870)
11028866-n,"Maxim Gorky, Gorky, Maksim Gorky, Gorki, Maxim Gorki, Aleksey Maksimovich Peshkov, Aleksey Maximovich Peshkov",Russian writer of plays and novels and short stories; noted for his depiction of social outcasts
11029269-n,"Gould, Jay Gould",United States financier who gained control of the Erie Railroad and who caused a financial panic in 1869 when he attempted to corner the gold market (1836-1892)
11029631-n,"Charles Gounod, Gounod, Charles Francois Gounod",French composer best remembered for his operas (1818-1893)
11029769-n,"Goya, Goya y Lucientes, Francisco Goya, Francisco de Goya, Francisco Jose de Goya, Francisco Jose de Goya y Lucientes",Spanish painter well known for his portraits and for his satires (1746-1828)
11031760-n,"Granville-Barker, Harley Granville-Barker",English actor and dramatist and critic and director noted for his productions of Shakespearean plays (1877-1946)
11032296-n,"Graves, Robert Graves, Robert Ranke Graves",English writer known for his interest in mythology and in the classics (1895-1985)
11032842-n,"Gray, Thomas Gray",English poet best known for his elegy written in a country churchyard (1716-1771)
11033872-n,"Pope Gregory I, Gregory, Gregory I, Saint Gregory I, St. Gregory I, Gregory the Great",(Roman Catholic Church) an Italian pope distinguished for his spiritual and temporal leadership; a saint and Doctor of the Church (540?-604)
11035076-n,"Gregory of Nazianzus, Gregory, Gregory Nazianzen, Gregory of Nazianzen, St. Gregory of Nazianzen",(Roman Catholic Church) a church father known for his constant fight against perceived heresies; a saint and Doctor of the Church (329-391)
11038679-n,"Guest, Edgar Guest, Edgar Albert Guest",United States journalist (born in England) noted for his syndicated homey verse (1881-1959)
11038858-n,"Guggenheim, Meyer Guggenheim",United States industrialist (born in Switzerland) who with his sons established vast mining and metal processing companies (1828-1905)
11039566-n,"Gustavus Adolphus of Sweden, Gustavus, Gustavus II, Gustavus Adolphus",king of Sweden whose victories in battle made Sweden a European power; his domestic reforms made Sweden a modern state; in 1630 he intervened on the Protestant side of the Thirty Years' War and was killed in the battle of Lutzen (1594-1632)
11040065-n,"Gustav IV Adolf of Sweden, Gustavus, Gustavus IV",king of Sweden whose losses to Napoleon I led to his being deposed in 1809 (1778-1837)
11041338-n,"Hadrian, Publius Aelius Hadrianus, Adrian",Roman Emperor who was the adoptive son of Trajan; travelled throughout his empire to strengthen its frontiers and encourage learning and architecture; on a visit to Britain in 122 he ordered the construction of Hadrian's Wall (76-138)
11043619-n,"Hale, Nathan Hale",a soldier of the American Revolution who was hanged as a spy by the British; his last words were supposed to have been `I only regret that I have but one life to give for my country' (1755-1776)
11044029-n,"Haley, Alex Haley",United States writer and Afro-American who wrote a fictionalized account of tracing his family roots back to Africa (1921-1992)
11045504-n,"Hals, Frans Hals",Dutch portrait and genre painter who endowed his portraits with vitality and humor (1580?-1666)
11045664-n,"Hamilton, Alexander Hamilton",United States statesman and leader of the Federalists; as the first Secretary of the Treasury he establish a federal bank; was mortally wounded in a duel with Aaron Burr (1755-1804)
11047627-n,"Handel, George Frideric Handel, George Frederick Handel, Georg Friedrich Handel",a prolific British baroque composer (born in Germany) remembered best for his oratorio Messiah (1685-1759)
11048442-n,"Warren G. Harding, Harding, Warren Harding, Warren Gamaliel Harding, President Harding",29th President of the United States; two of his appointees were involved in the Teapot Dome scandal (1865-1923)
11049633-n,"Harold Godwinson, Harold II, King Harold II",King of England who succeeded Edward the Confessor in 1066 and was the last of the Anglo-Saxon monarchs; he was killed fighting the invasion by William the Conqueror (1022-1066)
11050391-n,"Sir Arthur Harris, Harris, Bomber Harris, Sir Arthur Travers Harris",British marshal of the Royal Air Force; during World War II he directed mass bombing raids against German cities that resulted in heavy civilian casualties (1892-1984)
11050675-n,"Harris, Frank Harris, James Thomas Harris",Irish writer noted for his sexually explicit but unreliable autobiography (1856-1931)
11051416-n,"Harrison, William Henry Harrison, President Harrison, President William Henry Harrison",9th President of the United States; caught pneumonia during his inauguration and died shortly after (1773-1841)
11052154-n,"Harrod, Charles Henry Harrod",English merchant who took over a shop in London that was expanded by his son into a prestigious department store (1800-1885)
11052355-n,"Harrod, Charles Digby Harrod",English merchant who expanded his father's shop in London into a prestigious department store (1841-1905)
11052836-n,"Harte, Bret Harte",United States writer noted for his stories about life during the California gold rush (1836-1902)
11053155-n,"Harvard, John Harvard",American philanthropist who left his library and half his estate to the Massachusetts college that now bears his name (1607-1638)
11053354-n,"Harvey, William Harvey",English physician and scientist who described the circulation of the blood; he later proposed that all animals originate from an ovum produced by the female of the species (1578-1657)
11053627-n,"Hasdrubal Barca, Hasdrubal",general who commanded a Carthaginian army in Spain; joined his brother Hannibal in Italy and was killed by the Romans at the battle of Metaurus River (died 207 BC)
11054163-n,"Hassel, Odd Hassel",Norwegian chemist noted for his research on organic molecules (1897-1981)
11055359-n,"Haworth, Sir Walter Norman Haworth",English biochemist who was a pioneer in research on carbohydrates; when he synthesized vitamin C he became the first person to synthesize a vitamin artificially (1883-1950)
11056136-n,"Hayes, Rutherford B. Hayes, Rutherford Birchard Hayes, President Hayes",19th President of the United States; his administration removed federal troops from the South and so ended the Reconstruction Period (1822-1893)
11057491-n,"Heaviside, Oliver Heaviside",English physicist and electrical engineer who helped develop telegraphic and telephonic communications; in 1902 (independent of A. E. Kennelly) he suggested the existence of an atmospheric layer that reflects radio waves back to earth (1850-1925)
11058974-n,"Heller, Joseph Heller",United States novelist whose best known work was a black comedy inspired by his experiences in the Air Force during World War II (1923-1999)
11061443-n,"Henry III of England, Henry III",son of King John and king of England from 1216 to 1272; his incompetence aroused baronial opposition led by Simon de Montfort (1207-1272)
11062161-n,"Henry IV of France, Henry IV, Henry of Navarre, Henry the Great","king of France from 1589 to 1610; although he was leader of the Huguenot armies, when he succeeded the Catholic Henry III and founded the Bourbon dynasty in 1589 he established religious freedom in France"
11062686-n,"Henry VI of England, Henry VI",son of Henry V who as an infant succeeded his father and was King of England from 1422 to 1461; he was taken prisoner in 1460 and Edward IV was proclaimed king; he was rescued and regained the throne in 1470 but was recaptured and murdered in the Tower of London (1421-1471)
11063514-n,"Henry VIII of England, Henry VIII","son of Henry VII and King of England from 1509 to 1547; his divorce from Catherine of Aragon resulted in his break with the Catholic Church in 1534 and his excommunication 1538, leading to the start of the Reformation in England (1491-1547)"
11064624-n,"Herbert, Victor Herbert",United States musician and composer and conductor noted for his comic operas (1859-1924)
11065564-n,Herodotus,the ancient Greek known as the father of history; his accounts of the wars between the Greeks and Persians are the first known examples of historical writing (485-425 BC)
11068200-n,"Hesse, Hermann Hesse",Swiss writer (born in Germany) whose novels and poems express his interests in eastern spiritual values (1877-1962)
11068581-n,"Thor Heyerdahl, Heyerdahl, Thor Hyerdahl",Norwegian anthropologist noted for his studies of cultural diffusion (1914-2002)
11070178-n,"Hillary, Edmund Hillary, Sir Edmund Hillary, Sir Edmund Percival Hillary",New Zealand mountaineer who in 1953 first attained the summit of Mount Everest with his Sherpa guide Tenzing Norgay (born in 1919)
11071065-n,"Hindenburg, Paul von Hindenburg, Paul Ludwig von Beneckendorff und von Hindenburg",German field marshal and statesman; as president of the Weimar Republic he reluctantly appointed Hitler as chancellor in 1933 (1847-1934)
11071817-n,"Hirohito, Michinomiya Hirohito",emperor of Japan who renounced his divinity and became a constitutional monarch after Japan surrendered at the end of World War II (1901-1989)
11072038-n,"Hirschfeld, Al Hirschfeld",United States artist noted for his line-drawn caricatures (1904-2003)
11072294-n,"Hitchcock, Alfred Hitchcock, Sir Alfred Hitchcock, Alfred Joseph Hitchcock",English film director noted for his skill in creating suspense (1899-1980)
11074168-n,"Hoffa, Jimmy Hoffa, James Riddle Hoffa",United States labor leader who was president of the Teamsters Union; he was jailed for trying to bribe a judge and later disappeared and is assumed to have been murdered (1913-1975)
11075149-n,"Hoffmann, Josef Hoffmann",Austrian architect known for his use of rectilinear units (1870-1956)
11075607-n,"Hogarth, William Hogarth",English artist noted for a series of engravings that satirized the affectations of his time (1697-1764)
11076190-n,"Hans Holbein the Younger, Holbein, Hans Holbein, Holbein the Younger",German painter and engraver noted for his portraits; he was commissioned by Henry VIII to provide portraits of the English king's prospective brides (1497-1543)
11077071-n,"Holmes, Oliver Wendell Holmes Jr.",United States jurist noted for his liberal opinions (1841-1935)
11077543-n,"Homer, Winslow Homer",United States painter best known for his seascapes (1836-1910)
11079870-n,"Hopkins, Johns Hopkins",United States financier and philanthropist who left money to found the university and hospital that bear his name in Baltimore (1795-1873)
11081220-n,Hosea,"a minor Hebrew prophet (8th century BC), he warned the northern kingdom against the growing idolatry being practiced there, calling the people to repentance"
11081312-n,"Houdini, Harry Houdini, Erik Weisz",United States magician (born in Hungary) famous for his ability to escape from chains or handcuffs or straitjackets or padlocked containers (1874-1926)
11083939-n,"David H. Hubel, Hubel, David Hubel",United States neuroscientist noted for his studies of the neural basis of vision (born in 1926)
11084101-n,"Hudson, Henry Hudson",English navigator who discovered the Hudson River; in 1610 he attempted to winter in Hudson Bay but his crew mutinied and set him adrift to die (1565-1611)
11084829-n,"Hughes, Howard Hughes, Howard Robard Hughes",United States industrialist who was an aviator and a film producer; during the last years of his life he was a total recluse (1905-1976)
