06383357-n,Arthurian legend,the legend of King Arthur and his court at Camelot
03045299-a,Jungian,of or relating to Carl Jung or his psychological theories
03045428-a,Kantian,of or relating to Immanuel Kant or his philosophy
03045549-a,Keynesian,of or relating to John Maynard Keynes or to his economic theories
03045797-a,"Leibnizian, Leibnitzian",of or relating to Gottfried Wilhelm Leibniz or to his mathematics or philosophy
03046255-a,Lutheran,of or pertaining to Martin Luther or his teachings
03046627-a,"Muhammadan, Mohammedan",of or relating to the Arabian prophet Muhammad or to the religion he founded
03046827-a,Mosaic,of or relating to Moses or the laws and writings attributed to him
03047528-a,Newtonian,of or relating to or inspired by Sir Isaac Newton or his science
03047705-a,Pasteurian,of or relating to Louis Pasteur or his experiments
03047830-a,Pavlovian,of or relating to Ivan Pavlov or his experiments
03048319-a,Pythagorean,of or relating to Pythagoras or his geometry
03048488-a,Wagnerian,of or relating to Richard Wagner or his music
03058997-a,Benedictine,of or relating to Saint Benedict or his works
03067709-a,consular,having to do with a consul or his office or duties
03077232-a,feudatory,of or pertaining to the relation of a feudal vassal to his lord
03078086-a,Franciscan,of or relating to Saint Francis of Assisi or to the order founded by him
03081780-a,Gregorian,of or relating to Pope Gregory XIII or the calendar he introduced in 1582
03083946-a,Hertzian,of or relating to the physicist Heinrich Hertz or his work
03084244-a,Hippocratic,of or relating to Hippocrates or the school of medicine that took his name
03084679-a,Homeric,relating to or characteristic of Homer or his age or the works attributed to him
03087372-a,Jacksonian,of or pertaining to Andrew Jackson or his presidency or his concepts of popular democracy
03087536-a,Jacobean,of or relating to James I or his reign or times
03093822-a,Machiavellian,of or relating to Machiavelli or the principles of conduct he recommended
03118518-a,pyrrhic,of or relating to or resembling Pyrrhus or his exploits (especially his sustaining staggering losses in order to defeat the Romans)
03120511-a,Rabelaisian,of or relating to or characteristic of Francois Rabelais or his works
03145834-a,Kafkaesque,relating to or in the manner of Franz Kafka or his writings
01340609-v,blindfold,cover the eyes of (someone) to prevent him from seeing
01345437-v,belay,turn a rope round an object or person in order to secure it or him
01453962-v,frogmarch,carry someone against his will upside down such that each limb is held by one person
01474177-v,"shanghai, impress","take (someone) against his will for compulsory service, especially on board a ship"
01475047-v,carjack,"take someone's car from him by force, usually with the intention of stealing it"
01603521-v,tag,touch a player while he is holding the ball
01603680-v,nab,tag the base runner to get him out
07326440-n,"Ascension of Jesus, Ascension, Ascension of Christ",(New Testament) the rising of the body of Jesus into heaven on the 40th day after his Resurrection
07344962-n,karma,(Hinduism and Buddhism) the effects of a person's actions that determine his destiny in his next incarnation
07368680-n,stalemate,drawing position in chess: any of a player's possible moves would place his king in check
