Synset ID,Definition,Members,Previous Hypernyms,New Hypernym ID,New Hypernym Definition,New Hypernym Members,True Hypernym,Frame change,
00597330-v,know how to do or perform something,know,,00596016-v,,know,x,,
00602976-v,be immersed in,welter,,01571714-v,,surround,,x,
00608800-v,be a student; follow a course of study; be enrolled at an institute of learning,study,,02376902-v,,exert,x,,
00610362-v,be capable of conscious thought,think,,02609706-v,,exist,x,,
00360745-v,be survived by after one's death,"leave, leave behind",,00615374-v,,leave,x,,
01436773-v,be accompanied by,bring,,02081903-v,,bring,x,,
01484449-v,be placed in position as by a hinge,hang,,02661230-v,,be,x,,
01484587-v,be suspended or poised,hang,,02661230-v,,be,x,,
01484705-v,be suspended or hanging,hang,,02661230-v,,be,x,,
01545905-v,be in a position in which one's upper body is largely upright and supported by one's backside,"sit, sit down",,01548665-v,,rest,x,,
01549783-v,"be lying, be prostrate; be in a horizontal position",lie,,01548665-v,,rest,x,,
00806464-v,be of different opinions,"disagree, differ, dissent, take issue",,00630153-v,,think,x,,
00820635-v,be emphatic or resolute and refuse to budge,"insist, take a firm stand",,00630153-v,,think,x,,
00933814-v,denote or connote,"mean, intend, signify, stand for",,00833312-v,,inform,x,,
00937173-v,be made known; be disclosed or revealed,"out, come out",,00427534-v,,emerge,x,,
00938019-v,be released or become known; of news,"break, get out, get around",,00427534-v,,emerge,x,,
00975760-v,be broadcast,air,,00426920-v,,appear,x,,
01031401-v,be called; go by a certain name,"go by, go under",,01161188-v,,use,,,
02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold",,,,,,Top-level concept,
02258963-v,be obliged to pay or repay,owe,,02463535-v,,relate,,,
01780873-v,be fond of,like,,00595732-v,,know,x,,
01784253-v,be uneasy or apprehensive about,fear,,00595732-v,,know,x,,
01811849-v,be attractive to,"attract, appeal",,01771801-v,,affect,x,,
02693093-v,occur in soft rounded shapes,"roll, undulate",,02618403-v,to be found to exist,occur,x,,
02602272-v,attend a dance or a party without a female companion,stag,,02618797-v,"be present at (meetings, church services, university), etc.","attend, go to",x,,
02625819-v,live longer than,"outlive, outlast, survive",,02620216-v,"have life, be alive","be, live",x,,
00104622-v,eliminate (a substance),"exhaust, discharge, expel, eject, release",,02635337-v,get rid of something,"obviate, rid of, eliminate",x,,
02292463-v,miss from one's possessions; lose sight of,lose,,02638434-v,be without,"miss, lack",x,,
00561324-v,prove insufficient,"fail, run out, give out",,02615799-v,,stop,x,,
02646524-v,pause or hold back in uncertainty or unwillingness,"hesitate, waver, waffle",,02647119-v,interrupt temporarily an activity before continuing,"hesitate, pause",x,,
02483178-v,postpone indefinitely or annul something that was scheduled,"cancel, call off, scratch, scrub",,02648898-v,hold back to a later time,"postpone, prorogue, hold over, put over, table, shelve, set back, defer, remit, put off",x,,
02648694-v,postpone or delay needlessly,procrastinate,,02648898-v,hold back to a later time,"postpone, prorogue, hold over, put over, table, shelve, set back, defer, remit, put off",x,,
01533912-v,occupy a trench or secured area,"entrench, dig in",,02655144-v,occupy the whole of,"occupy, fill",x,,
02528887-v,carry on or function,"do, manage",,02685709-v,keep or maintain in unaltered condition; cause to remain or last,"continue, uphold, carry on, bear on, preserve",x,,
02431242-v,cease to operate or cause to cease operating,"close up, close, fold, shut down, close down",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",x,,
02436167-v,discontinue an association or relation; go different ways,"separate, part, split up, split, break, break up",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",x,,
02455370-v,stop (someone or something) from doing something or being in a certain state,"prevent, keep",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
02679419-v,throw out of balance or equilibrium,unbalance,,00126072-v,,change,x,,
02767855-v,"put out, as of fires, flames, or lights","snuff out, blow out, extinguish, quench",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",x,,
00611721-v,dismiss from the mind; stop remembering,"forget, bury",,02292634-v,,lose,x,,
00614907-v,stop maintaining or insisting on; of ideas or claims,"abandon, give up",,02372362-v,"perform an action, or work out or perform (an action)","act, do",x,,
01085437-v,give up in the face of defeat of lacking hope; admit defeat,"drop out, give up, fall by the wayside, drop by the wayside, throw in, throw in the towel, quit, chuck up the sponge",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",x,,
01118865-v,cease opposition; stop fighting,yield,,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",x,,
01618895-v,stop using,"put away, put aside",,02686624-v,put an end to a state or an activity,"discontinue, stop, cease, give up, quit, lay off",x,,
02458316-v,keep from happening or arising; make impossible,"prevent, forestall, foreclose, preclude, forbid",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,,
02150244-v,"be or go into hiding; keep out of sight, as for protection and safety","hide, hide out",,02372362-v,,act,x,,
02151220-v,hold back; keep from being perceived by others,"conceal, hold back, hold in",,02687605-v,"cause to continue in a certain state, position, or activity","keep, maintain, hold",x,,
02203116-v,keep under surveillance,"surveil, follow, survey",,02173796-v,,observe,x,,
00613035-v,"call to remembrance; keep alive the memory of someone or something, as in a ceremony","commemorate, remember",,02584595-v,,observe,x,,
01116393-v,maintain a required pace or level,keep up,,02687605-v,"cause to continue in a certain state, position, or activity","keep, maintain, hold",x,,
00118572-v,keep informed,"keep up, keep abreast, follow",,02173796-v,,observe,x,,
02624202-v,continue to live and avoid dying,"survive, last, live, live on, go, endure, hold up, hold out",,02690747-v,"continue a certain state, condition, or activity","continue, go on, proceed, go along, keep",x,,
00813037-v,stay clear from; keep away from; keep out of the way of someone or something,avoid,,00798638-v,,reject,x,,
02715780-v,extend in a different direction,diverge,,02691775-v,"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point","run, go, pass, lead, extend",x,,
01068455-v,"present somebody with something, usually to accuse or criticize","confront, face, present",,00775012-v,,present,,x,
02468933-v,refrain from doing something,avoid,,02731589-v,resist doing something,"refrain, forbear",,x,
00939649-v,refrain from divulging sensitive information; keep quiet about confidential information,"keep quiet, shut one's mouth, keep one's mouth shut",,02731589-v,resist doing something,"refrain, forbear",,x,
01042933-v,refuse to talk or stop talking; fall silent,"close up, clam up, dummy up, shut up, belt up, button up, be quiet, keep mum",,02731589-v,resist doing something,"refrain, forbear",,x,
01838427-v,remain in place; hold still; remain fixed or immobile,stand still,,02733337-v,"continue in a place, position, or situation","stay, stay on, continue, remain",x,,
01779986-v,to remain emotionally or intellectually attached,cling,,02543752-v,,attach,x,,
02252172-v,be sold for a certain price,"fetch, bring in, bring",,02733758-v,be sold at a certain price or in a certain way,sell,x,,
02202019-v,be perceived by,greet,,02736201-v,be beset by,"run into, encounter",,x,
02653900-v,endure,stick,01861378-v,01861378-v,stay behind,"persist, remain, stay",x,,
02737117-v,remain present although waning or gradually dying,linger,01861378-v,01861378-v,stay behind,"persist, remain, stay",x,,
02013215-v,remain behind,stay,,01861378-v,stay behind,"persist, remain, stay",x,,
02633747-v,come from,originate in,,02749089-v,be a native of,"hail, come",x,,
02776128-v,"rain, hail, or snow hard and be very windy, often with thunder or lightning",storm,,02762779-v,fall from clouds,"precipitate, come down, fall",x,,
02769698-v,"emit light; be bright, as of the sun or a light","shine, beam",,02773266-v,"give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc.","emit, give out, give off",,x,
02139513-v,give off a certain sound or sounds,sound,,02773266-v,"give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc.","emit, give out, give off",,x,
02663315-v,,,02670846-v,02622439-v,,be,,,
02753584-v,,continue,,00340744-v,,happen,,,
01860082-v,,move in,,01839438-v,,move,,,
02598823-v,,tutor,,02463535-v,,relate,,,
01019231-v,,predicate,,02463535-v,,relate,,,
02145254-v,,close,,00353480-v,,end,,,
02364227-v,,carry,,02208144-v,,have,,,
00739481-v,,"grab, seize",,01825361-v,,interest,,,
