Synset ID,Definition,Members,Previous Hypernyms,New Hypernym ID,New Hypernym Definition,New Hypernym Members,True Hypernym,Frame change,
02506138-v,receive punishment; be scolded or reprimanded,catch it,,02113108-v,receive as a retribution or punishment,"get, receive",,x,
00224721-v,suffer spiritual death; be damned (in the religious sense),die,,02113644-v,undergo or be subjected to,"suffer, endure",x,,
02110264-v,be aware of,"record, register",,02122959-v,notice or perceive,"notice, mark, note",x,,
02129097-v,be smelled; have a strong odor,reach one's nostrils,,02128137-v,,smell,x,,
02123398-v,observe with care or pay close attention to,"note, take note, observe",,02133118-v,observe without intervening,"watch, look on",x,,
02154940-v,look attentively,watch,,02134989-v,perceive with attention; direct one's gaze towards; look,look,x,,
01212242-v,examine by touch,"feel, finger",,02135744-v,"observe, check out, and look over carefully or inspect","examine, see",x,,
02728324-v,be received or accepted or interpreted in a specific way,play,,02137900-v,give a certain impression of being something or having a certain aspect,"look, appear, seem",x,,
02739681-v,be recorded or remembered,go down,,02137900-v,give a certain impression of being something or having a certain aspect,"look, appear, seem",x,,
02740528-v,undergo being photographed in a certain way,photograph,,02137900-v,give a certain impression of being something or having a certain aspect,"look, appear, seem",x,,
02109935-v,"appear to be moving upward, as by means of tendrils","ascend, climb up",,01972576-v,,arise,x,,
02706526-v,"be sounded, played, or expressed",go,,02139513-v,give off a certain sound or sounds,sound,x,,
02197640-v,detect with the senses,"spot, recognize, recognise, distinguish, discern, pick out, make out, tell apart",,02158938-v,"discover or determine the existence, presence, or fact of by perception with the eyes","detect, observe, find, discover, notice",x,,
02135744-v,"observe, check out, and look over carefully or inspect","examine, see",,02173796-v,watch attentively,observe,x,,
02776493-v,be the case that thunder is being heard,"thunder, boom",,02139513-v,give off a certain sound or sounds,sound,x,,
02129925-v,recognize or detect by or as if by smelling,"sniff out, scent out, smell out, nose out",,02197640-v,detect with the senses,"spot, recognize, recognise, distinguish, discern, pick out, make out, tell apart",x,,
02493817-v,give one's name or calling card to a servant when making a formal visit,send in,,02204104-v,transfer possession of something concrete or abstract to somebody,give,x,,Corpus evidence for this sense??
02615799-v,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical","end, stop, finish, terminate, cease",,00109468-v,,change,x,,
02620216-v,"have life, be alive","be, live",,02609706-v,,"exist, be",x,,
02626667-v,form or compose,"constitute, represent, make up, comprise, be",,02609706-v,,be,,,High-level concept
02634015-v,"require as useful, just, or proper","necessitate, ask, postulate, need, require, take, involve, call for, demand",,02681865-v,,pertain,,,
02639021-v,"have as a part, be made up out of",include,,02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold",x,,
02738673-v,have room for; hold without crowding,"accommodate, hold, admit",,02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold",x,,
02748107-v,have certain properties when driven,"drive, ride",,01528454-v,,operate,x,,
02748357-v,have a specified degree of importance,mean,,00837915-v,,represent,x,,
02750326-v,have the financial means to do something or buy something,afford,,02593624-v,,manage,x,,
02750526-v,have an opening or passage or outlet,open,,02609706-v,,be,x,,
02751361-v,afford possibility,"admit, allow",,02208144-v,,have,x,,
01191646-v,have or feel a need for,need,,01191258-v,,need,x,,
02198732-v,have flavor; taste of something,"taste, savor, savour",,02137900-v,,seem,,,
00596016-v,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,"know, cognize, cognise",,,,,,,Top-level concept
00597527-v,have fixed in the mind,know,,00596016-v,,know,,,
00710367-v,have in mind as a purpose,"intend, mean, think",,02372362-v,,act,,,Top-level concept
00258995-v,have an opening that allows light or substances to enter or go out,leak,,02750526-v,have an opening or passage or outlet,open,x,,
01219234-v,have or hold in one's hands or grip,hold,,02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold",x,,
02209474-v,have ownership or possession of,"own, have, possess",,02208144-v,"have or possess, either in a concrete or an abstract sense","have, have got, hold",x,,
02736010-v,have left or have as a remainder,leave,02208144-v,02208144-v,,,x,,
02113108-v,receive as a retribution or punishment,"get, receive",,02214901-v,get something; come into possession of,"receive, have",x,,
02320918-v,receive from a predecessor,inherit,,02214901-v,get something; come into possession of,"receive, have",x,,
02363654-v,to be given by assignment or distribution,fall,,00342572-v,,come,x,,
02363921-v,to be given by right or inheritance,fall,,00342572-v,,come,x,,
01216829-v,"get into one's hands, take physically","take, get hold of",,02215637-v,come into the possession of something concrete or abstract,"get, acquire",x,,
02508565-v,refuse entrance or membership,"reject, turn down, turn away, refuse",,02217607-v,refuse to let have,"deny, refuse",x,,
02622766-v,support oneself,"exist, survive, live, subsist",,02609706-v,,"exist, be",x,,
02635337-v,get rid of something,"obviate, rid of, eliminate",,02228837-v,dispose of,"get rid of, remove",x,,
00551194-v,"lay aside, abandon, or leave for another","switch, shift, change",,02232813-v,"forsake, leave behind",abandon,x,,
01113439-v,"obtain advantages, such as points, etc.","gain, advance, win, pull ahead, make headway, get ahead, gain ground",,02242867-v,come into possession of,obtain,,x,
02540602-v,seek someone's favor,"woo, court",,02245263-v,try to get or reach,seek,x,,
02271905-v,pay out,"spend, expend, drop","02256551-v, 01159815-v",02256551-v,"give money, usually in exchange for goods or services",pay,x,,
02368741-v,"record, add up, and receive payment for items purchased",check out,,02256551-v,"give money, usually in exchange for goods or services",pay,x,,
02426474-v,grant freedom to; free from confinement,"free, liberate, release, unloose, unloosen, loose",,00126072-v,,change,x,,
02570061-v,grant relief or an exemption from a rule or requirement to,"exempt, relieve, free",,00126072-v,,change,x,,
01008855-v,exchange messages,correspond,,02262178-v,"give to, and receive from, one another","exchange, change, interchange",x,,
01159815-v,use up (resources or materials),"consume, eat up, use up, eat, deplete, exhaust, run through, wipe out",02372362-v,02271905-v,pay out,"spend, expend, drop",x,,
02271765-v,spend less; buy at a reduced price,save,,02271905-v,pay out,"spend, expend, drop",x,,
02572007-v,lose one's chastity,fall,,00122978-v,,change,,x,
02134482-v,be no longer able to see,lose sight of,,02292634-v,"fail to keep or to maintain; cease to have, either physically or in an abstract sense",lose,x,,
00599310-v,gain knowledge or skills,"learn, larn, acquire",,02293158-v,win something through one's efforts,"acquire, win, gain",x,,
02604140-v,get people together,"assemble, gather, get together",,00158612-v,,accumulate,x,,
02270824-v,accumulate money for future use,"save, lay aside, save up",,02309962-v,get or gather together,"roll up, collect, accumulate, pile up, amass, compile, hoard",x,,
01622250-v,deprive of certain characteristics,"unmake, undo",,00126072-v,,change,x,,
02516942-v,give free rein to,indulge,,02372362-v,,act,,x,
02561834-v,"give moral or psychological support, aid, or courage to","support, back up",,02372362-v,,act,,x,
00618547-v,give little or no attention to,"neglect, ignore, disregard",,02372362-v,,act,,x,
00781646-v,give a rest to,rest,,02372362-v,,act,,x,
02322074-v,"bestow, especially officially","grant, give",,02321848-v,"cause to have, in the abstract sense or physical sense",give,x,,
02363033-v,afford access to,"afford, open, give",,,,,,,delete synset
01821097-v,give displeasure to,displease,,00772482-v,,induce,,x,
00078513-v,provide treatment for,"treat, care for",,02519853-v,,handle,,x,
02409366-v,remove from a position or an office,remove,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02427126-v,free from obligations or duties,"free, discharge",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02429499-v,come down on or keep down by unjust use of one's authority,"oppress, suppress, crush",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02481345-v,"assign a duty, responsibility or obligation to","appoint, charge",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02492581-v,get together socially or for a specific purpose,"meet, get together",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02500687-v,deprive of freedom; take into confinement,"confine, detain",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02523827-v,behave in a certain manner,"behave, acquit, bear, deport, conduct, comport, carry",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02529837-v,attain success or reach a desired goal,"succeed, win, come through, bring home the bacon, deliver the goods",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02534950-v,fail to do something; leave something undone,"fail, neglect",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02539728-v,do without or cease to hold or adhere to,"waive, relinquish, forgo, forego, foreswear, dispense with",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02567247-v,avail oneself to,"practice, apply, use",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02602368-v,almost do or experience something,come near,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02614382-v,"have a beginning, in a temporal, spatial, or evaluative sense","begin, start",,00109468-v,,change,x,,
02620422-v,lead a certain kind of life; live in a certain style,live,,02609706-v,,exist,,x,
02628315-v,be or become joined or united or linked,"connect, link, link up, join, unite",,02681865-v,,relate,,x,
02736899-v,stay behind,"persist, remain, stay",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02775199-v,be blowing or storming,blow,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01159300-v,"serve oneself to, or consume regularly","consume, ingest, take in, take, have",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01161188-v,put into service; make work or employ for a particular purpose or for its inherent or natural purpose,"use, utilize, utilise, apply, employ",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01861703-v,get going or set in motion,"start, start up",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02003830-v,take somebody somewhere,"lead, take, direct, conduct, guide",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02024442-v,"reach a destination, either real or abstract","reach, make, attain, hit, arrive at, gain",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02035003-v,make a division or separation,"separate, divide",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
02082838-v,bring in a new person or object into a familiar environment,"bring in, introduce",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01716563-v,carry out or perform an action,"perform, execute, do",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01720741-v,be performed or presented for public viewing,play,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
01757596-v,bring into existence,create,,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
00001740-v,"draw air into, and expel out of, the lungs","breathe, take a breath, respire, suspire",,02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
00010428-v,behave in a certain manner; show a certain behavior; conduct or comport oneself,"act, behave, do","01604155-v, 02372362-v",02372362-v,"perform an action, or work out or perform (an action)","act, do",,x,
